Designator,Mid X,Mid Y,Rotation,Layer
_645,143.51,-124.49,270.0,top
_644,143.5,-78.77,270.0,top
_643,151.12,-78.77,270.0,top
_642,158.74,-78.77,270.0,top
_641,146.04,-76.23,270.0,top
_640,148.58,-78.77,270.0,top
_639,143.5,-76.23,270.0,top
_638,143.5,-73.68,270.0,top
_637,156.2,-78.77,270.0,top
_636,153.66,-78.77,270.0,top
_635,148.58,-76.23,270.0,top
_634,158.74,-76.23,270.0,top
_633,146.04,-73.68,270.0,top
_632,146.04,-78.77,270.0,top
_631,158.74,-73.68,270.0,top
_630,153.66,-73.68,270.0,top
_629,151.12,-73.68,270.0,top
_628,171.44,-78.77,270.0,top
_627,153.66,-76.23,270.0,top
_626,151.12,-76.23,270.0,top
_625,156.2,-76.23,270.0,top
_624,148.58,-73.68,270.0,top
_623,173.98,-78.77,270.0,top
_622,184.14,-78.77,270.0,top
_621,189.22,-78.77,270.0,top
_620,201.92,-78.77,270.0,top
_619,161.28,-78.77,270.0,top
_618,166.36,-78.77,270.0,top
_617,194.3,-78.77,270.0,top
_616,204.46,-78.77,270.0,top
_615,163.82,-78.77,270.0,top
_614,156.2,-73.68,270.0,top
_613,186.68,-78.77,270.0,top
_612,196.84,-78.77,270.0,top
_611,207.0,-78.77,270.0,top
_610,168.9,-78.77,270.0,top
_609,191.76,-78.77,270.0,top
_608,166.36,-76.23,270.0,top
_607,176.52,-78.77,270.0,top
_606,179.06,-78.77,270.0,top
_605,209.54,-78.77,270.0,top
_604,161.28,-76.23,270.0,top
_603,199.38,-78.77,270.0,top
_602,181.6,-78.77,270.0,top
_601,204.46,-76.23,270.0,top
_600,209.54,-76.23,270.0,top
_599,201.92,-76.23,270.0,top
_598,189.22,-76.23,270.0,top
_597,163.82,-76.23,270.0,top
_596,186.68,-76.23,270.0,top
_595,184.14,-76.23,270.0,top
_594,171.44,-76.23,270.0,top
_593,173.98,-76.23,270.0,top
_592,179.06,-76.23,270.0,top
_591,194.3,-76.23,270.0,top
_590,166.36,-73.68,270.0,top
_589,207.0,-76.23,270.0,top
_588,168.9,-76.23,270.0,top
_587,181.6,-76.23,270.0,top
_586,191.76,-76.23,270.0,top
_585,199.38,-76.23,270.0,top
_584,176.52,-76.23,270.0,top
_583,171.44,-73.68,270.0,top
_582,161.28,-73.68,270.0,top
_581,196.84,-76.23,270.0,top
_580,184.14,-73.68,270.0,top
_579,209.54,-73.68,270.0,top
_578,201.92,-73.68,270.0,top
_577,204.46,-73.68,270.0,top
_576,194.3,-73.68,270.0,top
_575,186.68,-73.68,270.0,top
_574,191.76,-73.68,270.0,top
_573,163.82,-73.68,270.0,top
_572,173.98,-73.68,270.0,top
_571,189.22,-73.68,270.0,top
_570,176.52,-73.68,270.0,top
_569,199.38,-73.68,270.0,top
_568,179.06,-73.68,270.0,top
_567,168.9,-73.68,270.0,top
_566,181.6,-73.68,270.0,top
_565,207.0,-73.68,270.0,top
_564,196.84,-73.68,270.0,top
_563,158.74,-86.38,270.0,top
_562,143.5,-86.38,270.0,top
_561,146.04,-86.38,270.0,top
_560,146.04,-83.84,270.0,top
_559,148.58,-86.38,270.0,top
_558,151.12,-86.38,270.0,top
_557,158.74,-83.84,270.0,top
_556,146.04,-81.29,270.0,top
_555,143.5,-81.29,270.0,top
_554,153.66,-83.84,270.0,top
_553,151.12,-83.84,270.0,top
_552,148.58,-83.84,270.0,top
_551,153.66,-86.38,270.0,top
_550,143.5,-83.84,270.0,top
_549,156.2,-86.38,270.0,top
_548,158.74,-81.29,270.0,top
_547,153.66,-81.29,270.0,top
_546,151.12,-81.29,270.0,top
_545,148.58,-81.29,270.0,top
_544,171.44,-86.38,270.0,top
_543,184.14,-86.38,270.0,top
_542,163.82,-86.38,270.0,top
_541,204.46,-86.38,270.0,top
_540,173.98,-86.38,270.0,top
_539,186.68,-86.38,270.0,top
_538,156.2,-83.84,270.0,top
_537,166.36,-86.38,270.0,top
_536,161.28,-86.38,270.0,top
_535,201.92,-86.38,270.0,top
_534,194.3,-86.38,270.0,top
_533,179.06,-86.38,270.0,top
_532,207.0,-86.38,270.0,top
_531,196.84,-86.38,270.0,top
_530,189.22,-86.38,270.0,top
_529,156.2,-81.29,270.0,top
_528,191.76,-86.38,270.0,top
_527,176.52,-86.38,270.0,top
_526,168.9,-86.38,270.0,top
_525,181.6,-86.38,270.0,top
_524,209.54,-86.38,270.0,top
_523,199.38,-86.38,270.0,top
_522,161.28,-83.84,270.0,top
_521,173.98,-83.84,270.0,top
_520,186.68,-83.84,270.0,top
_519,163.82,-83.84,270.0,top
_518,171.44,-83.84,270.0,top
_517,189.22,-83.84,270.0,top
_516,194.3,-83.84,270.0,top
_515,204.46,-83.84,270.0,top
_514,166.36,-83.84,270.0,top
_513,201.92,-83.84,270.0,top
_512,209.54,-83.84,270.0,top
_511,199.38,-83.84,270.0,top
_510,184.14,-83.84,270.0,top
_509,191.76,-83.84,270.0,top
_508,168.9,-83.84,270.0,top
_507,176.52,-83.84,270.0,top
_506,161.28,-81.29,270.0,top
_505,179.06,-83.84,270.0,top
_504,181.6,-83.84,270.0,top
_503,207.0,-83.84,270.0,top
_502,171.44,-81.29,270.0,top
_501,163.82,-81.29,270.0,top
_500,166.36,-81.29,270.0,top
_499,173.98,-81.29,270.0,top
_498,184.14,-81.29,270.0,top
_497,186.68,-81.29,270.0,top
_496,199.38,-81.29,270.0,top
_495,204.46,-81.29,270.0,top
_494,189.22,-81.29,270.0,top
_493,209.54,-81.29,270.0,top
_492,196.84,-83.84,270.0,top
_491,194.3,-81.29,270.0,top
_490,201.92,-81.29,270.0,top
_489,191.76,-81.29,270.0,top
_488,207.0,-81.29,270.0,top
_487,176.52,-81.29,270.0,top
_486,196.84,-81.29,270.0,top
_485,179.06,-81.29,270.0,top
_484,181.6,-81.29,270.0,top
_483,168.9,-81.29,270.0,top
_482,151.12,-94.01,270.0,top
_481,143.5,-94.01,270.0,top
_480,148.58,-94.01,270.0,top
_479,158.74,-94.01,270.0,top
_478,146.04,-91.47,270.0,top
_477,146.04,-94.01,270.0,top
